S_CONFUSE  monster_confusion   8   140
S_MAP      magic_mapping       5   150
S_HOLD     hold_monster        3   180
S_SLEEP    sleep               5     5
S_ARMOR    enchant_armor       8   160
S_IDENT    identify           27   100
S_SCARE    scare_monster       4   200
S_GFIND    food_detection      4    50
S_TELEP    teleportation       7   165
S_ENCH     enchant_weapon     10   150
S_CREATE   create_monster      5    75
S_REMOVE   remove_curse        8   105
S_AGGR     aggravate_monsters  4    20
S_NOP      blank_paper         1     5
S_VORPAL   vorpalize_weapon    1   300
